student_id,class_attendance,class_participation,in_class_accuracy,exam_count,exam_tier,attendance_tier,participation_tier,overall_tier,first_attempt_score,next_attempt_date
1,16.7%,6.3%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
2,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,476.0,
3,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
4,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
5,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
6,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
7,100.0%,72.9%,68.3%,5,Tier 1,Tier 1,Tier 1,Tier 1,,
8,50.0%,4.2%,50.0%,7,Tier 1,Tier 2,Tier 3,Tier 3,499.0,5/9/26
9,100.0%,83.3%,59.8%,4,Tier 2,Tier 1,Tier 1,Tier 2,484.0,5/22/26
10,0.0%,0.0%,0.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,516.0,5/14/26
11,16.7%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
12,16.7%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
13,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
14,50.0%,18.8%,44.4%,0,Tier 3,Tier 2,Tier 3,Tier 3,493.0,5/22/26
15,50.0%,25.0%,91.7%,4,Tier 2,Tier 2,Tier 3,Tier 3,,
16,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
17,0.0%,0.0%,0.0%,7,Tier 1,Tier 3,Tier 3,Tier 3,,
18,16.7%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
19,50.0%,37.5%,55.6%,1,Tier 3,Tier 2,Tier 3,Tier 3,481.0,
20,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,487.0,5/30/26
21,0.0%,0.0%,0.0%,3,Tier 2,Tier 3,Tier 3,Tier 3,,
22,100.0%,0.0%,0.0%,1,Tier 3,Tier 1,Tier 3,Tier 3,480.0,5/8/26
23,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
24,83.3%,66.7%,71.9%,1,Tier 3,Tier 1,Tier 1,Tier 3,,
25,16.7%,0.0%,0.0%,6,Tier 1,Tier 3,Tier 3,Tier 3,506.0,5/9/26
26,16.7%,8.3%,100.0%,5,Tier 1,Tier 3,Tier 3,Tier 3,503.0,5/9/26
27,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
28,16.7%,2.1%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,488.0,5/22/26
29,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
30,16.7%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,507.0,4/24/26
31,50.0%,35.4%,53.2%,3,Tier 2,Tier 2,Tier 3,Tier 3,,
32,83.3%,54.2%,57.9%,3,Tier 2,Tier 1,Tier 2,Tier 2,499.0,4/11/26
33,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,514.0,
34,0.0%,0.0%,0.0%,0,Tier 3,Tier 3,Tier 3,Tier 3,,
35,83.3%,43.8%,90.5%,1,Tier 3,Tier 1,Tier 2,Tier 3,,
36,50.0%,33.3%,81.5%,5,Tier 1,Tier 2,Tier 3,Tier 3,488.0,5/8/26
37,0.0%,0.0%,0.0%,2,Tier 3,Tier 3,Tier 3,Tier 3,,
38,66.7%,16.7%,12.5%,1,Tier 3,Tier 2,Tier 3,Tier 3,483.0,
39,0.0%,0.0%,0.0%,1,Tier 3,Tier 3,Tier 3,Tier 3,,
40,33.3%,18.8%,44.3%,2,Tier 3,Tier 3,Tier 3,Tier 3,486.0,5/9/26
