course_id,assignment_id,title,item_type,topic,due_at,n_submitted
345,894,Practice Exam Scores Submission Form,Survey,practice exam scores submission form,2026-05-20T13:41:09Z,27
345,895,Exam Date Reporting,Survey,exam date reporting,2026-05-20T14:06:14Z,5
345,896,Unscored Sample Test (Free) Score Submission,Survey,unscored sample test free score submission,2026-05-20T17:34:41Z,107
345,751,Jack Westin MCAT Course - Onboarding Survey,Survey,jack westin mcat course onboarding survey,2026-05-22T04:59:59Z,106
345,753,C/P Section Review - Pre-Class Survey,Survey,c p section review pre class survey,2026-06-01T12:50:00Z,108
345,754,C/P Section Full Length Review - Participation Task,Participation Task,c p section full length review,2026-06-01T15:00:00Z,116
345,975,CARS Section Review Pre-Class Survey,Survey,cars section review pre class survey,2026-06-03T17:00:00Z,113
345,854,CARS - AAMC Practice Participation Task -2,Participation Task,cars aamc practice,2026-06-04T17:00:00Z,118
345,977,CARS Section Review Post-Class Survey,Survey,cars section review post class survey,2026-06-05T03:59:59Z,109
345,1005,Bio/Biochem Section Review Pre-Class Survey,Survey,bio biochem section review pre class survey,2026-06-08T17:00:00Z,116
345,763,B/B Section Full Length Exam Review - Science Strategies (practical applications) Participation Task,Participation Task,b b section full length exam review science strategies practical applications,2026-06-08T21:00:00Z,114
345,1006,Psych/Soc Section Review Pre-Class Survey,Survey,psych soc section review pre class survey,2026-06-10T17:00:00Z,113
345,1014,Psych/Soc Section Review Post-Class Survey,Survey,psych soc section review post class survey,2026-06-11T03:30:00Z,103
345,1015,Psych/Soc AAMC Sample Test- PARTICIPATION TASK,Participation Task,psych soc aamc sample test,2026-06-11T03:59:59Z,115
345,767,Learning Styles & Frameworks Participation Task,Participation Task,learning styles frameworks,2026-06-15T17:00:00Z,113
345,768,Learning Styles & Frameworks - Pre-Class Quiz,Pre-Class Quiz,learning styles frameworks,2026-06-16T03:30:00Z,108
345,770,CARS Strategy - Reading Fundamentals Participation Task,Participation Task,cars strategy reading fundamentals,2026-06-17T15:00:00Z,116
345,1024,Psych/Soc Review Homework,Homework,psych soc review,2026-06-18T03:59:59Z,82
345,1042,Learning Styles & Frameworks Post-Class Quiz,Other,learning styles frameworks post class quiz,2026-06-21T03:59:59Z,104
345,867,CARS Strategy - Reading Fundamentals Homework,Homework,cars strategy reading fundamentals,2026-06-22T04:59:59Z,99
345,1073,Atomic Structure and Periodic Trends- Participation Tasks,Participation Task,atomic structure and periodic trends,2026-06-22T15:30:00Z,115
345,1044,Learning Styles & Frameworks Homework,Homework,learning styles frameworks,2026-06-23T03:59:59Z,81
345,778,Chemical Equilibrium and Kinetics - Pre-Class Quiz,Pre-Class Quiz,chemical equilibrium and kinetics,2026-06-23T13:00:00Z,93
345,1075,Chemical Equilibrium and Kinetics Participation Task,Participation Task,chemical equilibrium and kinetics,2026-06-23T16:00:00Z,116
345,1085,Stoichiometry and Solution - Participation Task,Participation Task,stoichiometry and solution,2026-06-24T15:00:00Z,113
345,784,Waves (Light + Sound) - Pre-Class Quiz,Pre-Class Quiz,waves light sound,2026-06-25T13:30:00Z,24
345,1088,Waves (Light + Sound) - Participation Task,Participation Task,waves light sound,2026-06-25T15:00:00Z,112
345,787,Fluid Dynamics - Pre-Class Quiz,Pre-Class Quiz,fluid dynamics,2026-06-26T14:30:00Z,99
345,786,Fluid Dynamics Participation Task,Participation Task,fluid dynamics,2026-06-26T15:00:00Z,104
345,773,Atomic Structure and Periodic Table Trends Homework,Homework,atomic structure and periodic table trends,2026-06-29T04:59:59Z,100
345,868,Chemical Equilibrium and Kinetics Homework,Homework,chemical equilibrium and kinetics,2026-06-29T04:59:59Z,99
345,871,Fluid Dynamics Homework,Homework,fluid dynamics,2026-06-29T04:59:59Z,96
345,869,Stoichiometry and Solutions Homework,Homework,stoichiometry and solutions,2026-06-29T04:59:59Z,97
345,870,Waves (Light + Sound) Homework,Homework,waves light sound,2026-06-29T04:59:59Z,96
345,791,Acid/Base Chemistry - Pre-Class Quiz,Pre-Class Quiz,acid base chemistry,2026-06-29T13:00:00Z,101
345,1095,Acid/Base Chemistry - Participation Task,Participation Task,acid base chemistry,2026-06-29T15:00:00Z,107
345,794,Redox and Electrochemistry - Pre-Class Quiz,Pre-Class Quiz,redox and electrochemistry,2026-06-30T12:50:00Z,8
345,1096,Redox and Electrochemistry - Participation Task,Participation Task,redox and electrochemistry,2026-06-30T15:00:00Z,102
345,797,CARS - Mapping - Pre-Class Quiz,Pre-Class Quiz,cars mapping,2026-07-01T13:00:00Z,67
345,796,CARS - Mapping Participation Task,Participation Task,cars mapping,2026-07-01T15:30:00Z,96
345,1104,Pre-Class Check - Study Process and Solution Chemistry,Pre-Class Quiz,study process and solution chemistry,2026-07-02T13:30:00Z,97
345,799,Coaching Session 1 - Study Schedules & Time Management Participation Task,Participation Task,coaching session 1 study schedules time management,2026-07-02T15:30:00Z,90
345,790,Acid/Base Chemistry Homework,Homework,acid base chemistry,2026-07-06T04:59:59Z,98
345,873,CARS - Mapping Homework,Homework,cars mapping,2026-07-06T04:59:59Z,95
345,874,Coaching Session 1: Building a Successful Study Schedule Homework,Homework,coaching session 1 building a successful study schedule,2026-07-06T04:59:59Z,94
345,872,Redox and Electrochemistry Homework,Homework,redox and electrochemistry,2026-07-06T04:59:59Z,97
345,804,Electrostatics - Pre-Class Prep Work,Pre-Class Quiz,electrostatics,2026-07-06T12:50:00Z,59
345,1108,Electrostatics- Pre-Class Quiz,Pre-Class Quiz,electrostatics,2026-07-06T13:00:00Z,91
345,803,Electrostatics Participation Task,Participation Task,electrostatics,2026-07-06T15:30:00Z,106
345,808,Magnetism & Circuits - Pre-Class Quiz,Pre-Class Quiz,magnetism circuits,2026-07-07T13:00:00Z,95
345,806,Magnetism & Circuits Participation Task,Participation Task,magnetism circuits,2026-07-07T15:00:00Z,96
345,811,CARS - Question Strategy Participation Task,Participation Task,cars question strategy,2026-07-08T15:30:00Z,101
345,813,Research Methods - Pre-Class Quiz,Pre-Class Quiz,research methods,2026-07-09T13:30:00Z,95
345,812,Research Methods Participation Task,Participation Task,research methods,2026-07-10T02:00:00Z,102
345,876,CARS - Question Strategy Homework,Homework,cars question strategy,2026-07-13T04:59:59Z,93
345,802,Electrostatics Homework,Homework,electrostatics,2026-07-13T04:59:59Z,97
345,875,Magnetism & Circuits Homework,Homework,magnetism circuits,2026-07-13T04:59:59Z,97
345,877,Research Methods Homework,Homework,research methods,2026-07-13T04:59:59Z,90
345,878,Small Groups: Guided CARS Homework,Homework,small groups guided cars,2026-07-13T04:59:59Z,91
345,820,Brain and Behavior - Pre-Class Quiz,Pre-Class Quiz,brain and behavior,2026-07-13T12:50:00Z,88
345,819,Brain and Behavior Participation Task,Participation Task,brain and behavior,2026-07-13T15:30:00Z,101
345,815,Small Groups: Guided CARS Participation Task,Participation Task,small groups guided cars,2026-07-14T03:00:00Z,101
345,823,Emotion and Stress - Pre-Class Quiz,Pre-Class Quiz,emotion and stress,2026-07-14T13:00:00Z,98
345,822,Emotion and Stress Participation Task,Participation Task,emotion and stress,2026-07-14T15:30:00Z,105
345,826,CARS - Practice - Pre-Class Quiz,Pre-Class Quiz,cars practice,2026-07-15T13:00:00Z,93
345,825,CARS - Practice Participation Task,Participation Task,cars practice,2026-07-15T15:30:00Z,104
345,828,Coaching Session - Study Period Approach Participation Task,Participation Task,coaching session study period approach,2026-07-16T15:00:00Z,89
345,1116,JW - 9 Passage CARS Exam,Other,jw 9 passage cars exam,2026-07-20T03:59:59Z,93
345,818,Brain and Behavior Homework,Homework,brain and behavior,2026-07-20T04:59:59Z,101
345,880,CARS - Practice Homework,Homework,cars practice,2026-07-20T04:59:59Z,98
345,879,Emotion and Stress Homework,Homework,emotion and stress,2026-07-20T04:59:59Z,101
345,833,"Polar Amino Acids, Nonpolar Amino Acids, Stereochemistry - Pre-Class Quiz",Pre-Class Quiz,polar amino acids nonpolar amino acids stereochemistry,2026-07-20T13:00:00Z,87
345,1115,MCAT Math Homework,Homework,mcat math,2026-07-21T03:59:59Z,79
345,836,"Charged Amino Acids, Isoelectric Point, Ion Exchange Chromatography - Pre-Class Quiz",Pre-Class Quiz,charged amino acids isoelectric point ion exchange chromatography,2026-07-21T13:00:00Z,90
345,835,"Charged Amino Acids, Isoelectric Point, Ion Exchange Chromatography Participation Task",Participation Task,charged amino acids isoelectric point ion exchange chromatography,2026-07-21T15:00:00Z,101
345,839,CARS - Practice - Pre-Class Quiz,Pre-Class Quiz,cars practice,2026-07-22T13:00:00Z,92
345,838,CARS - Practice Participation Task,Participation Task,cars practice,2026-07-22T15:00:00Z,94
345,842,"Peptide Bond Formation, Protein Structure, Non-enzymatic Function of Proteins - Pre-Class Quiz",Pre-Class Quiz,peptide bond formation protein structure non enzymatic function of proteins,2026-07-23T13:00:00Z,96
345,841,"Peptide Bond Formation, Protein Structure, Non-enzymatic Function of Proteins Participation Task",Participation Task,peptide bond formation protein structure non enzymatic function of proteins,2026-07-23T15:00:00Z,101
345,844,Small Groups: Guided Science Participation Task,Participation Task,small groups guided science,2026-07-23T17:30:00Z,93
345,883,CARS - Practice Homework,Homework,cars practice,2026-07-27T04:59:59Z,88
345,882,"Charged Amino Acids, Isoelectric Point, Ion Exchange Chromatography Homework",Homework,charged amino acids isoelectric point ion exchange chromatography,2026-07-27T04:59:59Z,95
345,884,"Peptide Bond Formation, Protein Structure, Non-enzymatic Function of Proteins Homework",Homework,peptide bond formation protein structure non enzymatic function of proteins,2026-07-27T04:59:59Z,92
345,831,"Polar Amino Acids, Nonpolar Amino Acids, Stereochemistry Homework",Homework,polar amino acids nonpolar amino acids stereochemistry,2026-07-27T04:59:59Z,93
345,885,Small Groups: Guided Science Homework,Homework,small groups guided science,2026-07-27T04:59:59Z,90
345,886,Enzyme Activity and Enzyme Kinetics Homework,Homework,enzyme activity and enzyme kinetics,2026-08-03T04:59:59Z,72
345,847,Enzymes: Features and Thermodynamics Homework,Homework,enzymes features and thermodynamics,2026-08-03T04:59:59Z,74
351,1057,Acid Base and Amino Acids Participation Task,Participation Task,acid base and amino acids,2026-06-22T09:28:37Z,63
351,1068,AAMC CARS Passage Analysis and Practice Participation Task,Participation Task,aamc cars passage analysis and practice,2026-06-22T10:06:22Z,48
351,1059,Small Group Session 1 Participation Task,Participation Task,small group session 1,2026-06-22T17:00:00Z,63
351,1065,Small Group Session 2 Participation Task,Participation Task,small group session 2,2026-06-23T17:00:00Z,55
351,1058,Acid Base and Amino Acids Homework,Homework,acid base and amino acids,2026-06-24T03:59:59Z,55
351,1062,Enzyme Kinetics and Inhibition Participation Task,Participation Task,enzyme kinetics and inhibition,2026-06-24T03:59:59Z,62
351,1070,Small Group Session 3 Participation Task,Participation Task,small group session 3,2026-06-24T17:30:00Z,54
351,1089,Electrostatics Participation Task,Participation Task,electrostatics,2026-06-25T15:00:00Z,54
351,1071,AAMC CARS Practice Participation Task,Participation Task,aamc cars practice,2026-06-25T17:00:00Z,53
351,1067,AAMC CARS Passage Analysis and Practice Post-Class Survey,Survey,aamc cars passage analysis and practice post class survey,2026-06-26T03:59:59Z,48
351,1090,Theories of Emotion and Conditioning Participation Task,Participation Task,theories of emotion and conditioning,2026-06-26T15:00:00Z,53
351,1072,Small Group Session 5 Participation Task,Participation Task,small group session 5,2026-06-26T17:00:00Z,53
351,1069,AAMC CARS Passage Analysis Homework,Homework,aamc cars passage analysis,2026-06-28T03:59:59Z,39
351,1097,Redox and Electrochemistry - Participation Task,Participation Task,redox and electrochemistry,2026-06-29T15:00:00Z,49
351,1099,6/29/26 Small Group Participation Task,Participation Task,6 29 26 small group,2026-06-29T17:00:00Z,47
351,1100,7/1/26 Systems Review Participation Task,Participation Task,7 1 26 systems review,2026-07-01T03:24:25Z,46
351,1101,7/1/26 Small Group Participation Task,Participation Task,7 1 26 small group,2026-07-01T17:30:00Z,47
351,1107,Homework,Homework,,2026-07-05T04:59:59Z,25
351,1109,7/6/26 Experimental Passage Practice - Participation Task,Participation Task,7 6 26 experimental passage practice,2026-07-07T01:00:00Z,32
351,1113,7/13/26 Small Group - Metabolism Participation Task,Participation Task,7 13 26 small group metabolism,2026-07-13T17:30:00Z,35
