exam,total,C/P,CARS,B/B,P/S,student_id
exam1,501.0,,,,,S001
exam1,487.0,,,,,S003
exam1,504.0,,,,,S005
exam1,488.0,,,,,S006
exam1,494.0,,,,,S008
exam1,491.0,,,,,S010
exam1,508.0,,,,,S012
exam1,476.0,,,,,S013
exam1,516.0,,,,,S014
exam1,480.0,,,,,S015
exam1,479.0,,,,,S016
exam1,476.0,,,,,S019
exam1,485.0,,,,,S021
exam1,510.0,,,,,S022
exam1,505.0,,,,,S024
exam1,500.0,,,,,S025
exam1,495.0,,,,,S026
exam1,489.0,,,,,S027
exam1,507.0,,,,,S028
exam1,492.0,,,,,S031
exam1,479.0,,,,,S033
exam1,501.0,,,,,S034
exam1,488.0,,,,,S035
exam1,499.0,,,,,S036
exam1,496.0,,,,,S037
exam1,493.0,,,,,S041
exam1,508.0,,,,,S045
exam1,502.0,,,,,S050
exam1,495.0,,,,,S051
exam1,500.0,,,,,S054
exam1,485.0,,,,,S055
exam1,504.0,,,,,S057
exam1,507.0,,,,,S058
exam1,510.0,,,,,S060
exam1,488.0,,,,,S062
exam1,485.0,,,,,S064
exam1,491.0,,,,,S065
exam1,490.0,,,,,S067
exam1,498.0,,,,,S068
exam1,505.0,,,,,S072
exam1,502.0,,,,,S073
exam1,483.0,,,,,S074
exam1,509.0,,,,,S076
exam1,493.0,,,,,S078
exam1,498.0,,,,,S079
exam1,480.0,,,,,S080
exam1,495.0,,,,,S081
exam1,497.0,,,,,S085
exam1,489.0,,,,,S086
exam1,497.0,,,,,S088
exam1,489.0,,,,,S089
exam1,497.0,,,,,S092
exam1,481.0,,,,,S096
exam1,491.0,,,,,S097
exam1,490.0,,,,,S099
exam1,505.0,,,,,S100
exam1,497.0,,,,,S101
exam1,494.0,,,,,S102
exam1,488.0,,,,,S103
exam1,486.0,,,,,S104
exam1,489.0,,,,,S108
exam1,492.0,,,,,S109
exam1,502.0,,,,,S110
exam1,510.0,,,,,S112
exam1,489.0,,,,,S114
exam1,503.0,,,,,S115
exam1,490.0,,,,,S118
exam1,505.0,,,,,S121
exam1,492.0,,,,,S123
exam1,483.0,,,,,S124
exam1,503.0,,,,,S127
exam1,488.0,,,,,S128
exam1,485.0,,,,,S129
exam1,493.0,,,,,S132
exam1,481.0,,,,,S137
exam1,496.0,,,,,S139
exam1,489.0,,,,,S142
exam1,500.0,,,,,S143
exam1,484.0,,,,,S144
exam1,486.0,,,,,S148
exam1,499.0,,,,,S149
exam1,485.0,,,,,S150
exam1,497.0,,,,,S153
exam1,490.0,,,,,S156
exam1,490.0,,,,,S158
exam1,493.0,,,,,S159
exam1,493.0,,,,,S160
exam1,496.0,,,,,S161
exam1,483.0,,,,,S162
exam1,493.0,,,,,S163
exam1,515.0,,,,,S166
exam1,480.0,,,,,S168
exam1,505.0,,,,,S169
exam1,500.0,,,,,S170
exam1,489.0,,,,,S171
exam1,492.0,,,,,S172
exam1,495.0,,,,,S173
exam1,496.0,,,,,S174
exam1,487.0,,,,,S175
exam1,489.0,,,,,S176
exam1,483.0,,,,,S177
exam1,487.0,,,,,S179
exam1,492.0,,,,,S180
exam1,499.0,,,,,S182
exam1,503.0,,,,,S185
exam2,512.0,128.0,128.0,128.0,128.0,S001
exam2,505.0,126.0,125.0,128.0,126.0,S003
exam2,502.0,125.0,129.0,123.0,125.0,S005
exam2,496.0,125.0,123.0,125.0,123.0,S006
exam2,495.0,123.0,125.0,122.0,125.0,S008
exam2,495.0,123.0,124.0,123.0,125.0,S009
exam2,496.0,123.0,124.0,123.0,126.0,S010
exam2,511.0,127.0,129.0,128.0,127.0,S014
exam2,498.0,123.0,126.0,122.0,127.0,S016
exam2,491.0,120.0,122.0,124.0,125.0,S019
exam2,516.0,129.0,129.0,129.0,129.0,S022
exam2,514.0,128.0,128.0,129.0,129.0,S024
exam2,499.0,124.0,126.0,125.0,124.0,S025
exam2,495.0,122.0,123.0,124.0,126.0,S026
exam2,499.0,123.0,127.0,123.0,126.0,S027
exam2,508.0,125.0,128.0,127.0,128.0,S028
exam2,502.0,125.0,128.0,125.0,124.0,S031
exam2,493.0,124.0,122.0,123.0,124.0,S033
exam2,500.0,124.0,124.0,127.0,125.0,S034
exam2,493.0,122.0,124.0,123.0,124.0,S035
exam2,503.0,126.0,127.0,124.0,126.0,S036
exam2,500.0,125.0,125.0,125.0,125.0,S037
exam2,504.0,126.0,125.0,125.0,128.0,S044
exam2,488.0,124.0,121.0,120.0,123.0,S049
exam2,505.0,127.0,126.0,126.0,126.0,S050
exam2,500.0,124.0,128.0,123.0,125.0,S051
exam2,505.0,126.0,127.0,125.0,127.0,S055
exam2,506.0,125.0,130.0,126.0,125.0,S057
exam2,506.0,126.0,128.0,126.0,126.0,S058
exam2,508.0,125.0,129.0,127.0,127.0,S060
exam2,494.0,124.0,124.0,121.0,125.0,S064
exam2,499.0,124.0,127.0,123.0,125.0,S065
exam2,498.0,124.0,125.0,124.0,125.0,S067
exam2,494.0,123.0,125.0,121.0,125.0,S068
exam2,503.0,126.0,125.0,126.0,126.0,S072
exam2,515.0,129.0,129.0,129.0,128.0,S073
exam2,490.0,122.0,123.0,122.0,123.0,S074
exam2,516.0,130.0,129.0,129.0,128.0,S076
exam2,497.0,124.0,124.0,124.0,125.0,S078
exam2,494.0,121.0,125.0,123.0,125.0,S080
exam2,499.0,125.0,126.0,123.0,125.0,S081
exam2,503.0,125.0,126.0,125.0,127.0,S086
exam2,498.0,124.0,126.0,123.0,125.0,S088
exam2,497.0,125.0,124.0,124.0,124.0,S092
exam2,498.0,,,,,S096
exam2,492.0,124.0,122.0,122.0,124.0,S097
exam2,503.0,128.0,124.0,126.0,125.0,S099
exam2,501.0,123.0,129.0,124.0,125.0,S100
exam2,499.0,124.0,124.0,125.0,126.0,S101
exam2,499.0,123.0,126.0,125.0,125.0,S102
exam2,493.0,123.0,124.0,121.0,125.0,S103
exam2,496.0,125.0,124.0,123.0,125.0,S104
exam2,500.0,123.0,127.0,123.0,127.0,S110
exam2,511.0,127.0,128.0,128.0,128.0,S112
exam2,493.0,123.0,124.0,123.0,123.0,S114
exam2,503.0,125.0,128.0,123.0,127.0,S115
exam2,504.0,125.0,128.0,125.0,126.0,S121
exam2,500.0,124.0,128.0,124.0,124.0,S123
exam2,496.0,122.0,125.0,124.0,125.0,S124
exam2,504.0,125.0,128.0,124.0,127.0,S127
exam2,491.0,121.0,124.0,121.0,125.0,S128
exam2,496.0,124.0,124.0,123.0,125.0,S129
exam2,498.0,125.0,125.0,122.0,126.0,S132
exam2,486.0,122.0,123.0,118.0,123.0,S137
exam2,503.0,125.0,128.0,125.0,125.0,S139
exam2,501.0,125.0,127.0,124.0,125.0,S142
exam2,501.0,124.0,125.0,126.0,126.0,S143
exam2,499.0,124.0,125.0,126.0,124.0,S144
exam2,492.0,123.0,123.0,122.0,124.0,S148
exam2,509.0,129.0,128.0,126.0,126.0,S149
exam2,494.0,123.0,123.0,123.0,125.0,S150
exam2,503.0,125.0,125.0,128.0,125.0,S152
exam2,503.0,125.0,128.0,122.0,128.0,S153
exam2,489.0,122.0,122.0,122.0,123.0,S154
exam2,489.0,123.0,121.0,122.0,123.0,S156
exam2,500.0,124.0,126.0,125.0,125.0,S159
exam2,499.0,126.0,126.0,122.0,125.0,S160
exam2,503.0,125.0,128.0,126.0,124.0,S163
exam2,504.0,125.0,127.0,125.0,127.0,S165
exam2,492.0,121.0,124.0,123.0,124.0,S168
exam2,518.0,130.0,131.0,128.0,129.0,S169
exam2,499.0,125.0,125.0,124.0,125.0,S170
exam2,496.0,123.0,125.0,123.0,125.0,S171
exam2,511.0,127.0,128.0,128.0,128.0,S172
exam2,503.0,126.0,125.0,126.0,126.0,S175
exam2,488.0,124.0,122.0,122.0,120.0,S181
exam2,503.0,126.0,126.0,125.0,126.0,S182
