student_id,college,first_exam_date,first_exam_score,second_exam_date,category
1.0,Baylor Univ,4/10/26,,—,future
2.0,Univ of Texas at El Paso,1/23/26,476,—,below_495
3.0,,—,,—,no_date
4.0,Texas Tech Univ,4/24/26,,—,future
5.0,Angelo State Univ,3/20/26,,—,took_no_score
6.0,Univ of Texas Rio Grande Valley,4/24/26,,—,future
7.0,Univ of Texas at Tyler,4/10/26,,—,future
8.0,Univ of Texas at Austin,1/10/26,499,—,borderline
9.0,Univ of Texas at El Paso,1/15/26,484,5/22/26,below_495
10.0,Univ of Texas at Austin,1/10/26,516,—,passing
11.0,Angelo State Univ,3/7/26,,—,took_no_score
12.0,University of St Thomas - TX,4/24/26,,—,future
13.0,Texas A&M Univ,2/13/26,,—,took_no_score
14.0,Univ of Texas at Austin,1/23/26,493,—,below_495
15.0,Univ of Texas at Austin,3/7/26,,—,took_no_score
16.0,,—,,—,no_date
17.0,Texas Tech Univ,3/7/26,,—,took_no_score
18.0,Univ of Texas at Austin,4/24/26,,—,future
19.0,Howard Payne Univ,1/23/26,481,—,below_495
20.0,Univ of Texas at Austin,1/10/26,487,—,below_495
21.0,Midwestern State Univ,4/25/26,,—,future
22.0,Univ of Texas at El Paso,1/23/26,480,—,below_495
23.0,Wm Marsh Rice Univ,3/7/26,,—,took_no_score
24.0,Univ of Texas at Austin,2/13/26,,—,took_no_score
25.0,Univ of Texas at Austin,1/10/26,506,5/9/26,passing
26.0,Univ of Texas at Austin,1/10/26,503,—,passing
27.0,Lamar Univ,4/10/26,,—,future
28.0,Univ of North Texas,1/15/26,488,—,below_495
29.0,Texas A&M Univ,3/7/26,,—,took_no_score
30.0,,—,,—,no_date
31.0,Texas Christian Univ,4/11/26,,—,future
32.0,,—,,—,no_date
33.0,Univ of Texas at Dallas,2/13/26,514,—,passing
34.0,,—,,—,no_date
35.0,Texas A&M International Univ,4/11/26,,—,future
36.0,Univ of Texas at Tyler,1/10/26,488,5/8/26,below_495
37.0,Univ of Houston,3/20/26,,—,took_no_score
38.0,Univ of Texas Rio Grande Valley,2/13/26,483,—,below_495
39.0,Texas Tech Univ,3/20/26,,—,took_no_score
40.0,Univ of Texas at El Paso,1/15/26,486,5/9/26,below_495
41.0,Univ of Texas at Dallas,3/7/26,,—,took_no_score
42.0,,—,,—,no_date
43.0,,—,,—,no_date
44.0,Univ of Texas at Austin,1/23/26,490,—,below_495
45.0,Univ of Texas at Austin,4/25/26,,—,future
