student_id,Survey Tier,Large Group Tier,Small Group Tier,Class Participation Tier
1,Tier 3,Tier 2,Tier 2,Tier 2
2,Tier 3,Tier 3,Tier 3,Tier 3
3,Tier 3,Tier 3,Tier 3,Tier 3
4,Tier 3,Tier 2,Tier 3,Tier 2
5,Tier 3,Tier 1,Tier 3,Tier 2
6,Tier 2,Tier 2,Tier 3,Tier 1
7,Tier 1,Tier 1,Tier 1,Tier 1
8,Tier 1,Tier 1,Tier 1,Tier 2
9,Tier 1,Tier 1,Tier 1,Tier 1
10,Tier 3,Tier 3,Tier 3,Tier 3
11,Tier 2,Tier 1,Tier 1,Tier 2
12,Tier 3,Tier 1,Tier 1,Tier 1
13,Tier 1,Tier 1,Tier 2,Tier 2
14,Tier 3,Tier 1,Tier 2,Tier 2
15,Tier 3,Tier 1,Tier 1,Tier 1
16,Tier 3,Tier 1,Tier 1,Tier 1
17,Tier 1,Tier 1,Tier 1,Tier 1
18,Tier 3,Tier 1,Tier 3,Tier 2
19,Tier 2,Tier 2,Tier 1,Tier 3
20,Tier 3,Tier 2,Tier 3,Tier 2
21,Tier 3,Tier 1,Tier 1,Tier 1
22,Tier 3,Tier 1,Tier 2,Tier 2
23,Tier 3,Tier 2,Tier 2,Tier 3
24,Tier 3,Tier 2,Tier 3,Tier 1
25,Tier 1,Tier 1,Tier 1,Tier 1
26,Tier 1,Tier 1,Tier 1,Tier 1
27,Tier 3,Tier 3,Tier 3,Tier 3
28,Tier 3,Tier 3,Tier 3,Tier 3
29,Tier 3,Tier 3,Tier 3,Tier 2
30,Tier 2,Tier 1,Tier 3,Tier 1
31,Tier 1,Tier 1,Tier 2,Tier 1
32,Tier 1,Tier 1,Tier 1,Tier 1
33,Tier 3,Tier 2,Tier 3,Tier 3
34,Tier 3,Tier 3,Tier 3,Tier 2
35,Tier 3,Tier 1,Tier 2,Tier 1
36,Tier 3,Tier 1,Tier 1,Tier 1
37,Tier 2,Tier 1,Tier 1,Tier 2
38,Tier 3,Tier 1,Tier 2,Tier 1
39,Tier 3,Tier 1,Tier 3,Tier 2
40,Tier 3,Tier 1,Tier 1,Tier 1
41,Tier 3,Tier 3,Tier 3,Tier 3
42,Tier 3,Tier 3,Tier 3,Tier 3
43,Tier 3,Tier 3,Tier 3,Tier 3
44,Tier 1,Tier 2,Tier 2,Tier 1
45,Tier 3,Tier 3,Tier 3,Tier 3
46,Tier 3,Tier 1,Tier 1,Tier 1
47,Tier 3,Tier 2,Tier 3,Tier 2
48,Tier 3,Tier 3,Tier 3,Tier 2
49,Tier 1,Tier 1,Tier 1,Tier 1
50,Tier 3,Tier 3,Tier 3,Tier 3
51,Tier 3,Tier 3,Tier 3,Tier 3
52,Tier 3,Tier 1,Tier 2,Tier 2
53,Tier 3,Tier 2,Tier 3,Tier 1
54,Tier 1,Tier 1,Tier 1,Tier 1
55,Tier 3,Tier 1,Tier 1,Tier 1
56,Tier 3,Tier 3,Tier 3,Tier 3
57,Tier 3,Tier 3,Tier 3,Tier 3
58,Tier 3,Tier 3,Tier 3,Tier 3
59,Tier 3,Tier 2,Tier 3,Tier 2
60,Tier 1,Tier 1,Tier 1,Tier 1
61,Tier 1,Tier 1,Tier 1,Tier 1
62,Tier 3,Tier 2,Tier 3,Tier 2
63,Tier 1,Tier 2,Tier 2,Tier 1
64,Tier 3,Tier 1,Tier 2,Tier 3
65,Tier 3,Tier 3,Tier 3,Tier 2
66,Tier 1,Tier 1,Tier 1,Tier 2
67,Tier 1,Tier 1,Tier 1,Tier 1
68,Tier 3,Tier 1,Tier 3,Tier 1
69,Tier 1,Tier 1,Tier 1,Tier 1
70,Tier 3,Tier 3,Tier 3,Tier 3
71,Tier 1,Tier 1,Tier 2,Tier 1
72,Tier 3,Tier 1,Tier 2,Tier 3
73,Tier 3,Tier 1,Tier 1,Tier 1
74,Tier 3,Tier 3,Tier 3,Tier 3
75,Tier 3,Tier 3,Tier 3,Tier 2
76,Tier 2,Tier 1,Tier 1,Tier 1
77,Tier 3,Tier 1,Tier 3,Tier 1
78,Tier 2,Tier 1,Tier 1,Tier 1
79,Tier 2,Tier 1,Tier 1,Tier 1
80,Tier 3,Tier 2,Tier 3,Tier 3
81,Tier 3,Tier 3,Tier 3,Tier 2
82,Tier 3,Tier 1,Tier 2,Tier 3
83,Tier 3,Tier 2,Tier 3,Tier 3
84,Tier 3,Tier 2,Tier 3,Tier 1
85,Tier 3,Tier 1,Tier 1,Tier 1
86,Tier 3,Tier 3,Tier 3,Tier 2
87,Tier 1,Tier 1,Tier 2,Tier 1
88,Tier 3,Tier 1,Tier 1,Tier 1
89,Tier 3,Tier 3,Tier 3,Tier 3
90,Tier 1,Tier 1,Tier 1,Tier 1
91,Tier 2,Tier 1,Tier 2,Tier 3
92,Tier 1,Tier 1,Tier 1,Tier 1
93,Tier 1,Tier 1,Tier 2,Tier 1
94,Tier 1,Tier 2,Tier 3,Tier 3
95,Tier 2,Tier 1,Tier 1,Tier 1
96,Tier 1,Tier 1,Tier 2,Tier 1
97,Tier 1,Tier 2,Tier 2,Tier 2
98,Tier 3,Tier 1,Tier 1,Tier 1
99,Tier 1,Tier 1,Tier 1,Tier 1
100,Tier 1,Tier 3,Tier 3,Tier 3
101,Tier 3,Tier 1,Tier 1,Tier 2
102,Tier 1,Tier 1,Tier 1,Tier 1
103,Tier 3,Tier 3,Tier 3,Tier 2
104,Tier 1,Tier 1,Tier 1,Tier 1
105,Tier 1,Tier 1,Tier 1,Tier 1
106,Tier 3,Tier 3,Tier 3,Tier 3
107,Tier 2,Tier 1,Tier 1,Tier 1
108,Tier 3,Tier 2,Tier 3,Tier 3
109,Tier 3,Tier 1,Tier 2,Tier 1
110,Tier 2,Tier 1,Tier 1,Tier 1
111,Tier 3,Tier 1,Tier 1,Tier 1
112,Tier 2,Tier 1,Tier 1,Tier 1
113,Tier 1,Tier 1,Tier 1,Tier 1
114,Tier 3,Tier 3,Tier 3,Tier 2
115,Tier 3,Tier 3,Tier 3,Tier 3
116,Tier 1,Tier 1,Tier 1,Tier 1
117,Tier 1,Tier 1,Tier 2,Tier 1
118,Tier 1,Tier 1,Tier 1,Tier 1
119,Tier 1,Tier 1,Tier 1,Tier 1
120,Tier 1,Tier 1,Tier 1,Tier 2
121,Tier 3,Tier 2,Tier 1,Tier 3
122,Tier 3,Tier 3,Tier 3,Tier 3
123,Tier 3,Tier 1,Tier 2,Tier 1
124,Tier 3,Tier 3,Tier 3,Tier 3
125,Tier 3,Tier 2,Tier 3,Tier 2
126,Tier 3,Tier 2,Tier 3,Tier 3
127,Tier 3,Tier 2,Tier 3,Tier 1
128,Tier 3,Tier 1,Tier 1,Tier 2
129,Tier 1,Tier 1,Tier 1,Tier 1
130,Tier 3,Tier 1,Tier 2,Tier 3
131,Tier 3,Tier 2,Tier 3,Tier 3
132,Tier 3,Tier 2,Tier 3,Tier 1
133,Tier 1,Tier 1,Tier 2,Tier 1
134,Tier 3,Tier 3,Tier 3,Tier 3
135,Tier 3,Tier 2,Tier 2,Tier 2
136,Tier 3,Tier 2,Tier 3,Tier 2
137,Tier 3,Tier 1,Tier 3,Tier 1
138,Tier 3,Tier 1,Tier 1,Tier 1
139,Tier 3,Tier 1,Tier 2,Tier 2
140,Tier 3,Tier 1,Tier 3,Tier 1
141,Tier 3,Tier 1,Tier 3,Tier 3
142,Tier 3,Tier 1,Tier 3,Tier 2
143,Tier 3,Tier 1,Tier 1,Tier 1
