cohort,key,title,type,n_submitted,accuracy,participation
EY26,345_870,Homework,Homework,96,72.9,80.0
EY26,345_1075,Chemical Equilibrium and Kinetics Participation Task,Participation Task,116,96.1,96.7
EY26,345_871,Homework,Homework,96,79.3,80.0
EY26,345_867,Homework,Homework,99,67.5,82.5
EY26,345_1088,Waves (Light + Sound) - Participation Task,Participation Task,112,96.2,93.3
EY26,345_1073,Atomic Structure and Periodic Trends- Participation Tasks,Participation Task,115,89.7,95.8
EY26,345_754,C/P Section Full Length Review - Participation Task,Participation Task,116,80.6,96.7
EY26,345_768,Learning Styles & Frameworks - Pre-Class Quiz,Pre-Class Quiz,108,91.7,90.0
EY25,351_1057,Acid Base and Amino Acids Participation Task,Participation Task,63,94.4,96.9
EY25,351_1069,AAMC CARS Passage Analysis Homework,Homework,39,64.5,60.0
EY26,345_794,Redox and Electrochemistry - Pre-Class Quiz,Pre-Class Quiz,8,60.0,6.7
EY25,351_1109,7/6/26 Experimental Passage Practice - Participation Task,Participation Task,32,76.2,49.2
EY26,345_1014,Psych/Soc Section Review Post-Class Survey,Survey/Form,103,26.7,85.8
EY26,345_1015,Psych/Soc AAMC Sample Test- PARTICIPATION TASK,Participation Task,115,94.8,95.8
EY25,351_1097,Redox and Electrochemistry - Participation Task,Participation Task,49,96.6,75.4
EY25,351_1068,AAMC CARS Passage Analysis and Practice Participation Task,Participation Task,48,91.7,73.8
EY26,345_975,CARS Section Review Pre-Class Survey,Survey/Form,113,2.7,94.2
EY26,345_791,Acid/Base Chemistry - Pre-Class Quiz,Pre-Class Quiz,101,62.4,84.2
EY26,345_1005,Bio/Biochem Section Review Pre-Class Survey,Survey/Form,116,18.1,96.7
EY26,345_784,Waves (Light + Sound) - Pre-Class Quiz,Pre-Class Quiz,24,70.5,20.0
EY26,345_790,Homework,Homework,13,78.8,10.8
EY26,345_753,C/P Section Review - Pre-Class Survey,Survey/Form,108,,90.0
EY25,351_1090,Theories of Emotion and Conditioning Participation Task,Participation Task,53,88.7,81.5
EY26,345_751,Jack Westin MCAT Course - Onboarding Survey,Survey/Form,106,21.4,88.3
EY26,345_786,Fluid Dynamics Participation Task,Participation Task,104,96.3,86.7
EY26,345_1006,Psych/Soc Section Review Pre-Class Survey,Survey/Form,113,12.1,94.2
EY26,345_787,Fluid Dynamics - Pre-Class Quiz,Pre-Class Quiz,99,65.7,82.5
EY26,345_977,CARS Section Review Post-Class Survey,Survey/Form,109,0.9,90.8
EY26,345_778,Chemical Equilibrium and Kinetics - Pre-Class Quiz,Pre-Class Quiz,93,69.5,77.5
EY25,351_1089,Electrostatics Participation Task,Participation Task,54,98.8,83.1
EY25,351_1062,Enzyme Kinetics and Inhibition Participation Task,Participation Task,62,89.7,95.4
EY25,351_1100,7/1/26 Systems Review Participation Task,Participation Task,46,98.4,70.8
EY25,351_1101,7/1/26 Small Group Participation Task,Participation Task,47,90.4,72.3
EY26,345_763,B/B Section Full Length Exam Review - Science Strategies (practical applications) Participation Task,Participation Task,114,99.1,95.0
EY25,351_1059,Small Group Session 1 Participation Task,Participation Task,63,83.3,96.9
EY25,351_1065,Small Group Session 2 Participation Task,Participation Task,55,,84.6
EY25,351_1071,AAMC CARS Practice Participation Task,Participation Task,53,88.7,81.5
EY26,345_773,Homework,Homework,100,62.9,83.3
EY26,345_767,Learning Styles & Frameworks Participation Task,Participation Task,113,97.9,94.2
EY26,345_1024,Psych/Soc Review Homework,Homework,82,57.1,68.3
EY25,351_1070,Small Group Session 3 Participation Task,Participation Task,54,90.7,83.1
EY25,351_1058,Acid Base and Amino Acids Homework,Homework,55,56.7,84.6
EY25,351_1072,Small Group Session 5 Participation Task,Participation Task,53,92.5,81.5
EY25,351_1099,6/29/26 Small Group Participation Task,Participation Task,47,83.7,72.3
EY26,345_770,CARS Strategy - Reading Fundamentals Participation Task,Participation Task,116,98.3,96.7
EY25,351_1107,Homework,Homework,25,88.3,38.5
EY25,351_1067,AAMC CARS Passage Analysis and Practice Post-Class Survey,Survey/Form,48,0.0,73.8
EY26,345_1096,Redox and Electrochemistry - Participation Task,Participation Task,102,99.0,85.0
EY26,345_1095,Acid/Base Chemistry - Participation Task,Participation Task,107,99.1,89.2
EY26,345_1042,Learning Styles & Frameworks Post-Class Quiz,Post-Class Quiz,104,95.4,86.7
EY26,345_894,Practice Exam Scores Submission Form,Survey/Form,27,,22.5
EY26,345_1085,Stoichiometry and Solution - Participation Task,Participation Task,113,99.1,94.2
EY26,345_895,Exam Date Reporting,Survey/Form,5,,4.2
EY26,345_854,CARS - AAMC Practice Participation Task,Participation Task,118,,98.3
EY26,345_868,Homework,Homework,99,78.1,82.5
EY26,345_1044,Learning Styles & Frameworks Homework,Homework,81,,67.5
EY26,345_869,Homework,Homework,97,56.9,80.8
EY26,345_896,Unscored Sample Test (Free) Score Submission,Survey/Form,107,,89.2
